Model,Zone,Parameter,Parameter_Value,Precision,Recall,F1
Isolation Forest,Zone_1,contamination,0.005,0.035398230088495575,0.05128205128205128,0.041884816753926704
Isolation Forest,Zone_1,contamination,0.01,0.04145077720207254,0.10256410256410256,0.05904059040590406
Isolation Forest,Zone_1,contamination,0.02,0.04310344827586207,0.19230769230769232,0.07042253521126761
Isolation Forest,Zone_1,contamination,0.05,0.03208955223880597,0.27564102564102566,0.05748663101604278
Statistical Threshold,Zone_1,zscore_threshold,2.5,0.1584051724137931,0.9423076923076923,0.27121771217712176
Statistical Threshold,Zone_1,zscore_threshold,3.0,0.2512998266897747,0.9294871794871795,0.3956343792633015
Statistical Threshold,Zone_1,zscore_threshold,3.5,0.37467018469656993,0.9102564102564102,0.5308411214953271
Statistical Threshold,Zone_1,zscore_threshold,4.0,0.5201465201465202,0.9102564102564102,0.662004662004662
Robust MAD Z-score,Zone_1,mad_threshold,3.0,1.0,0.8397435897435898,0.9128919860627178
Robust MAD Z-score,Zone_1,mad_threshold,3.5,1.0,0.6474358974358975,0.7859922178988327
Robust MAD Z-score,Zone_1,mad_threshold,4.0,1.0,0.5064102564102564,0.6723404255319149
Robust MAD Z-score,Zone_1,mad_threshold,5.0,1.0,0.4423076923076923,0.6133333333333333
Isolation Forest,Zone_2,contamination,0.005,0.018518518518518517,0.00641025641025641,0.009523809523809525
Isolation Forest,Zone_2,contamination,0.01,0.03296703296703297,0.038461538461538464,0.03550295857988166
Isolation Forest,Zone_2,contamination,0.02,0.03859649122807018,0.14102564102564102,0.06060606060606061
Isolation Forest,Zone_2,contamination,0.05,0.03507271171941831,0.26282051282051283,0.061886792452830186
Statistical Threshold,Zone_2,zscore_threshold,2.5,0.16315205327413984,0.9423076923076923,0.2781456953642384
Statistical Threshold,Zone_2,zscore_threshold,3.0,0.26220614828209765,0.9294871794871795,0.4090267983074753
Statistical Threshold,Zone_2,zscore_threshold,3.5,0.37866666666666665,0.9102564102564102,0.5348399246704332
Statistical Threshold,Zone_2,zscore_threshold,4.0,0.5239852398523985,0.9102564102564102,0.6651053864168618
Robust MAD Z-score,Zone_2,mad_threshold,3.0,1.0,0.7884615384615384,0.8817204301075269
Robust MAD Z-score,Zone_2,mad_threshold,3.5,1.0,0.6410256410256411,0.78125
Robust MAD Z-score,Zone_2,mad_threshold,4.0,1.0,0.5192307692307693,0.6835443037974683
Robust MAD Z-score,Zone_2,mad_threshold,5.0,1.0,0.4358974358974359,0.6071428571428571
Isolation Forest,Zone_3,contamination,0.005,0.042492917847025496,0.09615384615384616,0.05893909626719057
Isolation Forest,Zone_3,contamination,0.01,0.04174573055028463,0.14102564102564102,0.06442166910688141
Isolation Forest,Zone_3,contamination,0.02,0.03506493506493506,0.17307692307692307,0.058315334773218146
Isolation Forest,Zone_3,contamination,0.05,0.036055923473142015,0.3141025641025641,0.06468646864686468
Statistical Threshold,Zone_3,zscore_threshold,2.5,0.1349862258953168,0.9423076923076923,0.236144578313253
Statistical Threshold,Zone_3,zscore_threshold,3.0,0.2273449920508744,0.9166666666666666,0.3643312101910828
Statistical Threshold,Zone_3,zscore_threshold,3.5,0.3405275779376499,0.9102564102564102,0.4956369982547993
Statistical Threshold,Zone_3,zscore_threshold,4.0,0.4565916398713826,0.9102564102564102,0.6081370449678801
Robust MAD Z-score,Zone_3,mad_threshold,3.0,0.11904761904761904,0.9935897435897436,0.21262002743484226
Robust MAD Z-score,Zone_3,mad_threshold,3.5,0.15621788283658788,0.9743589743589743,0.26926483613817537
Robust MAD Z-score,Zone_3,mad_threshold,4.0,0.23311897106109325,0.9294871794871795,0.37275064267352187
Robust MAD Z-score,Zone_3,mad_threshold,5.0,0.4485294117647059,0.782051282051282,0.5700934579439252
