Temperature,Humidity,Wind_Speed,Zone_1_Power_Consumption,Zone_2_Power_Consumption,Zone_3_Power_Consumption,Hour,Day_of_Week,Month,Is_Weekend,Is_Peak_Hour,Zone_1_lag_1,Zone_2_lag_1,Zone_3_lag_1,Zone_1_roll_mean_24h,Zone_2_roll_mean_24h,Zone_3_roll_mean_24h
6.414,74.5,0.083,29814.68354,19375.07599,20131.08434,0,6,1,1,0,34055.6962,16128.87538,20240.96386,34055.6962,16128.87538,20240.96386
6.313,74.5,0.08,29128.10127,19006.68693,19668.43373,0,6,1,1,0,29814.68354,19375.07599,20131.08434,31935.18987,17751.975685,20186.0241
6.121,75.0,0.083,28228.86076,18361.09422,18899.27711,0,6,1,1,0,29128.10127,19006.68693,19668.43373,30999.49367,18170.212766666667,20013.49397666667
5.921,75.7,0.081,27335.6962,17872.34043,18442.40964,0,6,1,1,0,28228.86076,18361.09422,18899.27711,30306.8354425,18217.93313,19734.93976
5.853,76.9,0.081,26624.81013,17416.41337,18130.12048,0,6,1,1,0,27335.6962,17872.34043,18442.40964,29712.607594,18148.81459,19476.433736
5.641,77.7,0.08,25998.98734,16993.31307,17945.06024,1,6,1,1,0,26624.81013,17416.41337,18130.12048,29197.974683333334,18026.74772,19252.04819333333
5.496,78.2,0.085,25446.07595,16661.39818,17459.27711,1,6,1,1,0,25998.98734,16993.31307,17945.06024,28740.97649142857,17879.114198571428,19065.33562857143
5.678,78.1,0.081,24777.72152,16227.35562,17025.54217,1,6,1,1,0,25446.07595,16661.39818,17459.27711,28329.11392375,17726.89969625,18864.57831375
5.491,77.3,0.082,24279.49367,15939.20973,16794.21687,1,6,1,1,0,24777.72152,16227.35562,17025.54217,27934.51476777777,17560.283687777777,18660.240964444445
5.516,77.5,0.081,23896.70886,15435.86626,16638.07229,1,6,1,1,0,24279.49367,15939.20973,16794.21687,27569.012658,17398.176292,18473.638555
5.471,76.7,0.083,23544.3038,15213.37386,16395.18072,1,6,1,1,0,23896.70886,15435.86626,16638.07229,27235.16685818182,17219.78447090909,18306.768894545454
5.059,78.6,0.081,23003.5443,15169.60486,16117.59036,2,6,1,1,0,23544.3038,15213.37386,16395.18072,26927.594936666665,17052.583586666668,18147.46988
4.968,78.8,0.084,22329.11392,14710.0304,15822.6506,2,6,1,1,0,23003.5443,15169.60486,16117.59036,26625.744887692308,16907.73906923077,17991.32530153846
4.975,78.9,0.083,22092.1519,14421.8845,15672.28916,2,6,1,1,0,22329.11392,14710.0304,15822.6506,26318.842675714284,16750.75987857143,17836.419965714285
4.897,79.1,0.083,21903.79747,14104.55927,15597.10843,2,6,1,1,0,22092.1519,14421.8845,15672.28916,26037.063290666665,16595.50152,17692.144578666666
5.02,79.7,0.081,21685.06329,13965.95745,15510.36145,2,6,1,1,0,21903.79747,14104.55927,15597.10843,25778.734176875,16439.817629375,17561.204819375
5.407,78.5,0.082,21484.55696,13612.15805,15336.86747,2,6,1,1,0,21685.06329,13965.95745,15510.36145,25537.93000705882,16294.29644235294,17440.566974117646
5.169,77.9,0.083,21107.8481,13535.56231,15140.24096,3,6,1,1,0,21484.55696,13612.15805,15336.86747,25312.742615555555,16145.28875388889,17323.694779444442
5.081,77.7,0.084,20998.48101,13371.42857,15059.27711,3,6,1,1,0,21107.8481,13535.56231,15140.24096,25091.432377894736,16007.934730526316,17208.776157368422
5.041,77.2,0.081,20870.88608,13196.35258,15013.01205,3,6,1,1,0,20998.48101,13371.42857,15059.27711,24886.7848095,15876.109422500002,17101.301205
5.034,76.9,0.083,20870.88608,13167.17325,14897.3494,3,6,1,1,0,20870.88608,13196.35258,15013.01205,24695.551536666662,15748.501953809526,17001.858864285714
