Model,Zone,Feature,Importance
Random Forest,Zone_1_Power_Consumption,Day_of_Week,2.8376005327920048e-05
Random Forest,Zone_1_Power_Consumption,Diffuse_Flows,0.0009170187935913295
Random Forest,Zone_1_Power_Consumption,General_Diffuse_Flows,0.0010169676438808886
Random Forest,Zone_1_Power_Consumption,Hour,0.0008036824842990844
Random Forest,Zone_1_Power_Consumption,Humidity,7.432953253930845e-05
Random Forest,Zone_1_Power_Consumption,Is_Peak_Hour,8.354729647579655e-05
Random Forest,Zone_1_Power_Consumption,Is_Weekend,3.4952000282899484e-06
Random Forest,Zone_1_Power_Consumption,Month,1.9678378111042327e-05
Random Forest,Zone_1_Power_Consumption,Quarter,9.679819090932635e-06
Random Forest,Zone_1_Power_Consumption,Season_Autumn,1.0746302116058959e-06
Random Forest,Zone_1_Power_Consumption,Season_Spring,4.211081660504841e-06
Random Forest,Zone_1_Power_Consumption,Season_Summer,3.2846264276207745e-06
Random Forest,Zone_1_Power_Consumption,Season_Winter,2.7590180023667844e-06
Random Forest,Zone_1_Power_Consumption,Temp_Humidity_Index,6.882408177824875e-05
Random Forest,Zone_1_Power_Consumption,Temperature,5.7750311993933165e-05
Random Forest,Zone_1_Power_Consumption,Wind_Speed,5.7353844258185814e-05
Random Forest,Zone_1_Power_Consumption,Zone_1_lag_1,0.7598782746315341
Random Forest,Zone_1_Power_Consumption,Zone_1_lag_144,0.0389424304018068
Random Forest,Zone_1_Power_Consumption,Zone_1_lag_6,0.0004072172118473794
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_max_1h,0.02090345198924782
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_max_24h,0.00010735781470604907
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_mean_1h,0.11301252888384572
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_mean_24h,0.000206099652751571
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_min_1h,0.057743985862588956
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_min_24h,6.73582375694843e-05
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_std_1h,0.0003513328641417696
Random Forest,Zone_1_Power_Consumption,Zone_1_roll_std_24h,8.261971739767691e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_lag_1,0.002412635138637217
Random Forest,Zone_1_Power_Consumption,Zone_2_lag_144,0.00010436355910973493
Random Forest,Zone_1_Power_Consumption,Zone_2_lag_6,4.676794310943279e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_max_1h,5.684165299682664e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_max_24h,5.173870546288182e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_mean_1h,4.50927186098309e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_mean_24h,6.4828804346135e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_min_1h,3.828297221315171e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_min_24h,6.500450319997792e-05
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_std_1h,0.00029215818746978583
Random Forest,Zone_1_Power_Consumption,Zone_2_roll_std_24h,7.758510608808589e-05
Random Forest,Zone_1_Power_Consumption,Zone_3_lag_1,3.785947425914412e-05
Random Forest,Zone_1_Power_Consumption,Zone_3_lag_144,7.14285371743143e-05
