Model,Zone,RMSE,MAE,MAPE,Notes
ARIMA,Zone_1_Power_Consumption,381.0956263078456,255.8607422523048,0.8994047215028598,"order=(2, 0, 0); validation-selected; rolling one-step evaluation; 10-minute data"
SARIMA,Zone_1_Power_Consumption,342.5865973566336,227.6965560388496,0.8029018892659038,"order=(1, 0, 1), seasonal_order=(0, 1, 0, 144); validation-selected; rolling one-step evaluation; 10-minute data"
ARIMA,Zone_2_Power_Consumption,341.1388994656541,215.2294324159604,0.9365210674720011,"order=(2, 0, 0); validation-selected; rolling one-step evaluation; 10-minute data"
SARIMA,Zone_2_Power_Consumption,321.0368021773276,198.19937056599423,0.8656411439020226,"order=(1, 0, 0), seasonal_order=(0, 1, 0, 144); validation-selected; rolling one-step evaluation; 10-minute data"
ARIMA,Zone_3_Power_Consumption,289.4929056982435,165.62146031830497,1.4665693663522872,"order=(2, 0, 0); validation-selected; rolling one-step evaluation; 10-minute data"
SARIMA,Zone_3_Power_Consumption,295.9274408008302,160.5003835657535,1.4135421151851422,"order=(1, 0, 1), seasonal_order=(0, 1, 0, 144); validation-selected; rolling one-step evaluation; 10-minute data"
Prophet,Zone_1_Power_Consumption,2570.6337092241724,2001.613023580942,6.772921974953322,"best validation configuration={""changepoint_prior_scale"": 0.1, ""daily_fourier_order"": 16, ""name"": ""regressors_tuned_holidays"", ""seasonality_prior_scale"": 10.0, ""use_holidays"": true, ""use_regressors"": true, ""weekly_fourier_order"": 6}"
Prophet,Zone_2_Power_Consumption,2727.598857525631,2243.167993674506,10.508636133491562,"best validation configuration={""changepoint_prior_scale"": 0.1, ""daily_fourier_order"": 16, ""name"": ""regressors_tuned_holidays"", ""seasonality_prior_scale"": 10.0, ""use_holidays"": true, ""use_regressors"": true, ""weekly_fourier_order"": 6}"
Prophet,Zone_3_Power_Consumption,2843.8815721170195,2164.58072947345,18.97227813200414,"best validation configuration={""changepoint_prior_scale"": 0.1, ""daily_fourier_order"": 16, ""name"": ""regressors_tuned_holidays"", ""seasonality_prior_scale"": 10.0, ""use_holidays"": true, ""use_regressors"": true, ""weekly_fourier_order"": 6}"
Linear Regression,Zone_1_Power_Consumption,365.5876285072226,260.85309159955483,0.9344982188904194,Scaled preprocessing features; current zone targets excluded; predictions inverse-transformed to Watts
Random Forest,Zone_1_Power_Consumption,364.81033404221176,250.0374910864759,0.8826761316618745,"best validation parameters={'n_estimators': 40, 'max_depth': 14, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_samples': 0.6}; predictions inverse-transformed to Watts"
XGBoost,Zone_1_Power_Consumption,325.3910747709816,226.50307545501437,0.8132553923429049,"best validation parameters={'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.9, 'colsample_bytree': 0.9}; predictions inverse-transformed to Watts"
Linear Regression,Zone_2_Power_Consumption,315.7732408036685,199.8892666192378,0.868989812894325,Scaled preprocessing features; current zone targets excluded; predictions inverse-transformed to Watts
Random Forest,Zone_2_Power_Consumption,314.7047517741946,209.27259187486337,0.9144566676135542,"best validation parameters={'n_estimators': 40, 'max_depth': 14, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_samples': 0.6}; predictions inverse-transformed to Watts"
XGBoost,Zone_2_Power_Consumption,300.78278404910736,200.9480256147109,0.8673654602803961,"best validation parameters={'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.9}; predictions inverse-transformed to Watts"
Linear Regression,Zone_3_Power_Consumption,318.4792667016389,215.7067888384193,1.9288924926739648,Scaled preprocessing features; current zone targets excluded; predictions inverse-transformed to Watts
Random Forest,Zone_3_Power_Consumption,371.2980690569784,243.5999426899534,2.267288733158956,"best validation parameters={'n_estimators': 40, 'max_depth': 14, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_samples': 0.6}; predictions inverse-transformed to Watts"
XGBoost,Zone_3_Power_Consumption,355.9679519625868,230.04145436225525,2.204191797459707,"best validation parameters={'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.9}; predictions inverse-transformed to Watts"
